,Area Name-Legal/Statistical Area Description,Qualifying Name,FIPS,Total Population,Urban,Urban: Inside urbanized areas,Urban: Inside urban clusters,Rural,% Urban,% Urban: Inside urbanized areas,% Urban: Inside urban clusters,% Rural,Population Density (per sq. mile),Area (Land),Area Total,Area (Land).1,Area (Water),% Area (Land),% Area (Water),Median household income In 1999 Dollars,Average household income In 1999 Dollars,Aggregate household income In 1999 Dollars,Per capita income In 1999 Dollars,Housing units,Occupied Housing Units,"Occupied Housing Units: House Heating Fuel: Gas (Utility, Bottled, tank, or LP gas)",Occupied Housing Units: House Heating Fuel: Electricity,"Occupied Housing Units: House Heating Fuel: Fuel oil, kerosene, etc.","Occupied Housing Units: House Heating Fuel: Coal, coke or Wood",Occupied Housing Units: House Heating Fuel: Solar energy,Occupied Housing Units: House Heating Fuel: Other fuel,Occupied Housing Units: House Heating Fuel: No fuel used,"% Occupied Housing Units: House Heating Fuel: Gas (Utility, Bottled, tank, or LP gas)",% Occupied Housing Units: House Heating Fuel: Electricity,"% Occupied Housing Units: House Heating Fuel: Fuel oil, kerosene, etc.","% Occupied Housing Units: House Heating Fuel: Coal, coke or Wood",% Occupied Housing Units: House Heating Fuel: Solar energy,% Occupied Housing Units: House Heating Fuel: Other fuel,% Occupied Housing Units: House Heating Fuel: No fuel used,Average Commute to Work (in min),State,County,Total Emissions,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Airborne,Nonroad
0,Autauga County,"Autauga County, Alabama",1001,43671,24101,0,24101,19570,55.19,0.0,55.19,44.81,73.27741999999999,595.9680430952,604.4465,595.9680000000001,8.478429,98.6,1.4,42013,50150,801006000,18518,17662,16003,10564,5178,24,167,5,6,59,66.01,32.36,0.15,1.04,0.03,0.04,0.37,26,AL,Autauga,0.2561666254,0.0030007112,0.0044338007,0.010148499200000001,0.1555083524,0.0747607067,0.0,0.0009758098,0.0024528793,0.0048858662
1,Baldwin County,"Baldwin County, Alabama",1003,140415,64337,1908,62429,76078,45.82,1.36,44.46,54.18,87.96021,1596.3466950426,2026.9289999999999,1596.3470000000002,430.5823,78.76,21.24,40250,52133,2885875300,20826,74285,55336,13496,40881,98,658,22,40,141,24.39,73.88,0.18,1.19,0.04,0.07,0.25,26,AL,Baldwin,0.45003126229999996,0.015348179299999999,0.0118836768,0.0319484614,0.0,0.2787089307,0.0,0.0178420967,0.044849405599999996,0.0494505117
2,Barbour County,"Barbour County, Alabama",1005,29038,8280,0,8280,20758,28.51,0.0,28.51,71.49,32.81487,884.9035841092999,904.5174,884.9036,19.61383,97.83,2.17,25101,36012,375677200,13316,12461,10409,3918,6337,16,106,0,6,26,37.64,60.88,0.15,1.02,0.0,0.06,0.25,23,AL,Barbour,0.0993703334,0.001904576,0.0085554559,0.006283526899999999,0.0,0.0571425408,0.0,0.0054689606,0.0137472403,0.006268033
3,Bibb County,"Bibb County, Alabama",1007,20826,3863,0,3863,16963,18.55,0.0,18.55,81.45,33.42723,623.0250456759,626.1619,623.025,3.136875,99.5,0.5,31420,38415,283621000,14105,8345,7421,3940,3232,41,165,0,30,13,53.09,43.55,0.55,2.22,0.0,0.4,0.18,32,AL,Bibb,0.0459450712,0.0007687700999999999,0.0016220624,0.0046143911,0.0,0.0357456931,0.0,0.00038025989999999996,0.0009558530999999999,0.0018580416
4,Blount County,"Blount County, Alabama",1009,51024,4578,0,4578,46446,8.97,0.0,8.97,91.03,79.03527,645.585174912,650.6041,645.5852,5.018892,99.23,0.77,35241,43250,828373000,16325,21158,19265,8911,9665,95,462,0,46,86,46.25,50.17,0.49,2.4,0.0,0.24,0.45,35,AL,Blount,0.11477625179999999,0.0019514106,0.0090594505,0.011162115,0.0,0.0874007285,0.0,0.0002980241,0.0007491392,0.0041553838
5,Bullock County,"Bullock County, Alabama",1011,11714,4139,0,4139,7575,35.33,0.0,35.33,64.67,18.74202,625.0126131858999,626.0563,625.0126,1.043658,99.83,0.17,20605,28427,113509900,10163,4727,3986,2544,1388,9,43,2,0,0,63.82,34.82,0.23,1.08,0.05,0.0,0.0,26,AL,Bullock,0.0313400587,0.0004824514,0.0034969835999999997,0.0026660559000000004,0.0,0.0233105743,0.0,0.0,0.0,0.0013839935
6,Butler County,"Butler County, Alabama",1013,21399,5388,0,5388,16011,25.18,0.0,25.18,74.82,27.54525,776.8672781496001,777.9222,776.8672,1.054881,99.86,0.14,24791,39158,328382100,15715,9957,8398,4812,3327,0,240,2,0,17,57.3,39.62,0.0,2.86,0.02,0.0,0.2,26,AL,Butler,0.0980097103,0.0016539789999999999,0.003211287,0.0050547642,0.0,0.0826682596,0.0,0.000530852,0.0013343941,0.0035561742999999997
7,Calhoun County,"Calhoun County, Alabama",1015,112249,77476,73344,4132,34773,69.02,65.34,3.68,30.98,184.4801,608.4613457669001,612.321,608.4614,3.8596690000000002,99.37,0.63,31768,42442,1926052700,17367,51322,45307,27113,17489,186,344,19,58,98,59.84,38.6,0.41,0.76,0.04,0.13,0.22,23,AL,Calhoun,0.4669628186,0.0125765954,0.0462808415,0.02742766,0.0,0.34709899850000003,0.0,0.0050501886999999995,0.0126945815,0.015833953
8,Chambers County,"Chambers County, Alabama",1017,36583,18374,0,18374,18209,50.23,0.0,50.23,49.77,61.26085,597.1676409312,603.1068,597.1677,5.939135,99.02,0.98,29667,37617,547149200,15147,16256,14522,8931,5135,84,339,0,10,23,61.5,35.36,0.58,2.33,0.0,0.07,0.16,22,AL,Chambers,0.0844473028,0.0024305284,0.011209058700000002,0.008560152,0.0,0.0570280163,0.0,0.0003546459,0.0008914693,0.003973432
9,Cherokee County,"Cherokee County, Alabama",1019,23988,0,0,0,23988,0.0,0.0,0.0,100.0,43.36847,553.1208082817,599.9515,553.1208,46.8307,92.19,7.81,30874,38066,369926000,15543,14025,9719,5613,3789,87,200,0,6,24,57.75,38.99,0.9,2.06,0.0,0.06,0.25,30,AL,Cherokee,0.062065659100000004,0.0008582433000000001,0.0017635325,0.0051599234,0.0,0.0447321275,0.0,0.0005794237,0.0014564887,0.0075159199
