,Area Name-Legal/Statistical Area Description,Qualifying Name,FIPS,Total Population,Urban,Urban: Inside urbanized areas,Urban: Inside urban clusters,Rural,% Urban,% Urban: Inside urbanized areas,% Urban: Inside urban clusters,% Rural,Population Density (per sq. mile),Area (Land),Area Total,Area (Land).1,Area (Water),% Area (Land),% Area (Water),Median household income In 1999 Dollars,Average household income In 1999 Dollars,Aggregate household income In 1999 Dollars,Per capita income In 1999 Dollars,Housing units,Occupied Housing Units,"Occupied Housing Units: House Heating Fuel: Gas (Utility, Bottled, tank, or LP gas)",Occupied Housing Units: House Heating Fuel: Electricity,"Occupied Housing Units: House Heating Fuel: Fuel oil, kerosene, etc.","Occupied Housing Units: House Heating Fuel: Coal, coke or Wood",Occupied Housing Units: House Heating Fuel: Solar energy,Occupied Housing Units: House Heating Fuel: Other fuel,Occupied Housing Units: House Heating Fuel: No fuel used,"% Occupied Housing Units: House Heating Fuel: Gas (Utility, Bottled, tank, or LP gas)",% Occupied Housing Units: House Heating Fuel: Electricity,"% Occupied Housing Units: House Heating Fuel: Fuel oil, kerosene, etc.","% Occupied Housing Units: House Heating Fuel: Coal, coke or Wood",% Occupied Housing Units: House Heating Fuel: Solar energy,% Occupied Housing Units: House Heating Fuel: Other fuel,% Occupied Housing Units: House Heating Fuel: No fuel used,Average Commute to Work (in min),State,County_x,Total Emissions,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Airborne,Nonroad,CBSA Code,MSA,County_y
0,Autauga County,"Autauga County, Alabama",1001,43671,24101,0,24101,19570,55.19,0.0,55.19,44.81,73.27741999999999,595.9680430952,604.4465,595.9680000000001,8.478429,98.6,1.4,42013,50150,801006000,18518,17662,16003,10564,5178,24,167,5,6,59,66.01,32.36,0.15,1.04,0.03,0.04,0.37,26,AL,Autauga,0.2561666254,0.0030007112,0.0044338007,0.010148499200000001,0.1555083524,0.0747607067,0.0,0.0009758098,0.0024528793,0.0048858662,33860,"Montgomery, AL (Metropolitan Statistical Area)","Autauga, AL "
1,Baldwin County,"Baldwin County, Alabama",1003,140415,64337,1908,62429,76078,45.82,1.36,44.46,54.18,87.96021,1596.3466950426,2026.9289999999999,1596.3470000000002,430.5823,78.76,21.24,40250,52133,2885875300,20826,74285,55336,13496,40881,98,658,22,40,141,24.39,73.88,0.18,1.19,0.04,0.07,0.25,26,AL,Baldwin,0.45003126229999996,0.015348179299999999,0.0118836768,0.0319484614,0.0,0.2787089307,0.0,0.0178420967,0.044849405599999996,0.0494505117,19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)","Baldwin, AL "
2,Bibb County,"Bibb County, Alabama",1007,20826,3863,0,3863,16963,18.55,0.0,18.55,81.45,33.42723,623.0250456759,626.1619,623.025,3.136875,99.5,0.5,31420,38415,283621000,14105,8345,7421,3940,3232,41,165,0,30,13,53.09,43.55,0.55,2.22,0.0,0.4,0.18,32,AL,Bibb,0.0459450712,0.0007687700999999999,0.0016220624,0.0046143911,0.0,0.0357456931,0.0,0.00038025989999999996,0.0009558530999999999,0.0018580416,13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)","Bibb, AL "
3,Blount County,"Blount County, Alabama",1009,51024,4578,0,4578,46446,8.97,0.0,8.97,91.03,79.03527,645.585174912,650.6041,645.5852,5.018892,99.23,0.77,35241,43250,828373000,16325,21158,19265,8911,9665,95,462,0,46,86,46.25,50.17,0.49,2.4,0.0,0.24,0.45,35,AL,Blount,0.11477625179999999,0.0019514106,0.0090594505,0.011162115,0.0,0.0874007285,0.0,0.0002980241,0.0007491392,0.0041553838,13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)","Blount, AL "
4,Calhoun County,"Calhoun County, Alabama",1015,112249,77476,73344,4132,34773,69.02,65.34,3.68,30.98,184.4801,608.4613457669001,612.321,608.4614,3.8596690000000002,99.37,0.63,31768,42442,1926052700,17367,51322,45307,27113,17489,186,344,19,58,98,59.84,38.6,0.41,0.76,0.04,0.13,0.22,23,AL,Calhoun,0.4669628186,0.0125765954,0.0462808415,0.02742766,0.0,0.34709899850000003,0.0,0.0050501886999999995,0.0126945815,0.015833953,11500,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)","Calhoun, AL "
5,Chilton County,"Chilton County, Alabama",1021,39593,4765,0,4765,34828,12.03,0.0,12.03,87.97,57.05218000000001,693.9787890908999,700.7560000000001,693.9788,6.777239,99.03,0.97,32588,39407,601757500,15303,17651,15287,7880,7064,78,218,0,13,34,51.55,46.21,0.51,1.43,0.0,0.09,0.22,33,AL,Chilton,0.17252728850000001,0.00193918,0.053766503,0.008852646700000001,0.0,0.09482797679999999,0.0,0.0025684181,0.0064561943999999994,0.0041163695000000005,13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)","Chilton, AL "
6,Colbert County,"Colbert County, Alabama",1033,54984,29211,28823,388,25773,53.13,52.42,0.71,46.87,92.48277,594.5324101888,623.6079,594.5324,29.075490000000002,95.34,4.66,31954,42754,961454600,17533,24980,22461,12671,9156,243,322,0,36,33,56.41,40.76,1.08,1.43,0.0,0.16,0.15,24,AL,Colbert,1.9707854966999998,0.0066577271,0.035109696600000004,0.0123904971,1.7932294516999998,0.0922305805,0.0,0.0052705668,0.0132485428,0.0126484341,22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)","Colbert, AL "
7,Elmore County,"Elmore County, Alabama",1051,65874,25069,0,25069,40805,38.06,0.0,38.06,61.94,106.0336,621.255622806,657.2123,621.2556,35.95671,94.53,5.47,41243,49916,1132695500,17650,25733,22737,10664,11725,63,235,0,30,20,46.9,51.57,0.28,1.03,0.0,0.13,0.09,29,AL,Elmore,0.1486925077,0.0030909224,0.0167781832,0.014935930900000002,0.0,0.0886972237,0.0,0.0042298811,0.010632589,0.0103277774,33860,"Montgomery, AL (Metropolitan Statistical Area)","Elmore, AL "
8,Etowah County,"Etowah County, Alabama",1055,103459,62283,61709,574,41176,60.2,59.65,0.55,39.8,193.4455,534.8223574781,548.7532,534.8224,13.93079,97.46,2.54,31170,41044,1708840900,16783,45959,41615,28572,12510,114,300,0,53,66,68.66,30.06,0.27,0.72,0.0,0.13,0.16,25,AL,Etowah,0.42251991920000004,0.010792768400000001,0.0161431418,0.0243427638,0.18397722019999999,0.1685226537,0.0,0.0027990796999999997,0.0070360022,0.008906289599999999,23460,"Gadsden, AL (Metropolitan Statistical Area)","Etowah, AL "
9,Geneva County,"Geneva County, Alabama",1061,25764,3294,171,3123,22470,12.79,0.66,12.12,87.21,44.7074,576.2804646198999,578.9036,576.2805,2.623079,99.55,0.45,26448,35554,372256700,14620,12115,10477,3260,6897,133,147,0,14,26,31.12,65.83,1.27,1.4,0.0,0.13,0.25,27,AL,Geneva,0.058763948899999995,0.0012256858,0.0027647678000000003,0.0058845673999999995,0.0,0.0403281122,0.0,0.0010633809,0.0026730053,0.0048244295000000005,20020,"Dothan, AL (Metropolitan Statistical Area)","Geneva, AL "
