,Aggregate household income In 1999 Dollars,Airborne,Aircraft,Area Total,Cement,Commercial,Housing units,Industrial,Nonroad,Occupied Housing Units,"Occupied Housing Units: House Heating Fuel: Coal, coke or Wood",Occupied Housing Units: House Heating Fuel: Electricity,"Occupied Housing Units: House Heating Fuel: Fuel oil, kerosene, etc.","Occupied Housing Units: House Heating Fuel: Gas (Utility, Bottled, tank, or LP gas)",Occupied Housing Units: House Heating Fuel: No fuel used,Occupied Housing Units: House Heating Fuel: Other fuel,Occupied Housing Units: House Heating Fuel: Solar energy,Onroad,Residential,Rural,Total Emissions,Total Population,Urban,MSA,CBSA Code
10180,2561452300.0,0.0409824734,0.0163037439,2757.6405,0.0,0.0238838481,65217.0,0.0219900076,0.024596888999999997,58475.0,573.0,23122.0,57.0,34511.0,107.0,105.0,0.0,0.3525382345,0.030602349699999996,38944.0,0.6499297629,160245.0,121301.0,"Abilene, TX (Metropolitan Statistical Area)",10180
10420,15211660100.0,0.0792786001,0.0315388032,927.1684,0.0,0.15837553580000002,290976.0,0.3244393741,0.0890844422,274237.0,1103.0,25526.0,9729.0,235220.0,565.0,2054.0,40.0,0.9650177208,0.40052246529999996,85735.0,2.0482569414,694960.0,609225.0,"Akron, OH (Metropolitan Statistical Area)",10420
10500,2615087400.0,0.0249488798,0.0099252205,1958.0279,0.0,0.0165396256,63755.0,0.43274625599999994,0.0254791613,57403.0,303.0,36022.0,417.0,20254.0,326.0,57.0,24.0,0.2599123977,0.023219563,50833.0,0.9775215395999999,157833.0,107000.0,"Albany, GA (Metropolitan Statistical Area)",10500
10540,1800372000.0,0.0105219419,0.0041858645,2310.146,0.0,0.023849586000000002,42521.0,0.08581124890000001,0.020783135,39541.0,4086.0,18203.0,1267.0,15487.0,72.0,411.0,15.0,0.21752537660000001,0.0213274866,37720.0,0.3840836558,103069.0,65349.0,"Albany, OR (Metropolitan Statistical Area)",10540
10580,18377333800.0,0.10876769800000001,0.04327022090993139,2878.2913999999996,0.2381361168,0.21800955100000002,363740.0,0.17303834099999998,0.09086233020000001,330246.0,7231.0,39108.0,79016.0,203036.0,640.0,1106.0,109.0,1.2439736223,0.4373789573,180210.0,2.8165060592,825875.0,645665.0,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",10580
10740,14272318700.0,0.16111405809999998,0.0640947789,9296.988,0.0403010514,0.16947850039999998,305840.0,0.1202032288,0.090378388,281052.0,5938.0,29998.0,294.0,243180.0,325.0,623.0,694.0,1.1264268471999999,0.2827259668,74263.0,2.2654607558,729649.0,655386.0,"Albuquerque, NM (Metropolitan Statistical Area)",10740
10780,2267293500.0,0.028249969700000002,0.0112384667,2026.5254000000002,0.0,0.0146217159,60569.0,0.1488232609,0.0178939343,54193.0,840.0,26949.0,90.0,26132.0,126.0,48.0,8.0,0.30607700899999996,0.0287127301,66531.0,1.6368905089999999,145035.0,78504.0,"Alexandria, LA (Metropolitan Statistical Area)",10780
10900,15965592600.0,0.0760580586,0.0302575966,1475.6907,0.490044434,0.5989795776,307269.0,7.5340790822,0.0876102121,285808.0,8265.0,76102.0,116573.0,83365.0,448.0,1018.0,37.0,1.0036865959999999,0.3918587764,143865.0,11.376941207300002,740395.0,596530.0,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",10900
11020,2105442200.0,0.0126378884,0.0050276352,527.1137,0.0,0.0360638795,55061.0,0.1231486434,0.0144666528,51518.0,1655.0,4438.0,13330.0,31893.0,59.0,143.0,0.0,0.14766040589999999,0.0769359391,33585.0,0.4159410443,129144.0,95559.0,"Altoona, PA (Metropolitan Statistical Area)",11020
11100,4111057300.0,0.0587072797,0.023355070000000002,5183.7249,0.0,0.032411189800000004,92409.0,0.11208817119836204,0.031608811,86007.0,69.0,19719.0,41.0,65890.0,168.0,109.0,11.0,0.4961426892,0.0978139806,32768.0,3.3813239421,228707.0,195939.0,"Amarillo, TX (Metropolitan Statistical Area)",11100
